Year,Types of Use of Force,# of Incidents
01/01/2022 12:00:00 AM,Alleged Force,8
01/01/2022 12:00:00 AM,ECD,31
01/01/2022 12:00:00 AM,ECD on Dog,1
01/01/2022 12:00:00 AM,Firearm,6
01/01/2022 12:00:00 AM,Firearm - Dog,1
01/01/2022 12:00:00 AM,Hand Strikes,78
01/01/2022 12:00:00 AM,Handcuffing,21
01/01/2022 12:00:00 AM,Impact Weapon,0
01/01/2022 12:00:00 AM,K-9,15
01/01/2022 12:00:00 AM,Kicks,25
01/01/2022 12:00:00 AM,Knee Strikes,77
01/01/2022 12:00:00 AM,OC Spray,10
01/01/2022 12:00:00 AM,OC Spray - Dog,0
01/01/2022 12:00:00 AM,Other,20
01/01/2022 12:00:00 AM,Pressure Points,45
01/01/2022 12:00:00 AM,Specialty Munition,5
01/01/2022 12:00:00 AM,Stop Sticks,12
01/01/2022 12:00:00 AM,Tackle,127
01/01/2022 12:00:00 AM,Takedowns,134
01/01/2021 12:00:00 AM,Alleged Force,15
01/01/2021 12:00:00 AM,ECD,36
01/01/2021 12:00:00 AM,ECD on Dog,1
01/01/2021 12:00:00 AM,Firearm,1
01/01/2021 12:00:00 AM,Firearm - Dog,1
01/01/2021 12:00:00 AM,Hand Strikes,65
01/01/2021 12:00:00 AM,Handcuffing,13
01/01/2021 12:00:00 AM,Impact Weapon,1
01/01/2021 12:00:00 AM,K-9,6
01/01/2021 12:00:00 AM,Kicks,15
01/01/2021 12:00:00 AM,Knee Strikes,69
01/01/2021 12:00:00 AM,OC Spray,11
01/01/2021 12:00:00 AM,OC Spray - Dog,0
01/01/2021 12:00:00 AM,Other,34
01/01/2021 12:00:00 AM,Pressure Points,54
01/01/2021 12:00:00 AM,Specialty Munition,4
01/01/2021 12:00:00 AM,Stop Sticks,29
01/01/2021 12:00:00 AM,Tackle,131
01/01/2021 12:00:00 AM,Takedowns,139
01/01/2020 12:00:00 AM,Alleged Force,10
01/01/2020 12:00:00 AM,ECD,33
01/01/2020 12:00:00 AM,ECD on Dog,1
01/01/2020 12:00:00 AM,Firearm,0
01/01/2020 12:00:00 AM,Firearm - Dog,1
01/01/2020 12:00:00 AM,Hand Strikes,47
01/01/2020 12:00:00 AM,Handcuffing,17
01/01/2020 12:00:00 AM,Impact Weapon,2
01/01/2020 12:00:00 AM,K-9,8
01/01/2020 12:00:00 AM,Kicks,13
01/01/2020 12:00:00 AM,Knee Strikes,78
01/01/2020 12:00:00 AM,OC Spray,17
01/01/2020 12:00:00 AM,OC Spray - Dog,0
01/01/2020 12:00:00 AM,Other,23
01/01/2020 12:00:00 AM,Pressure Points,57
01/01/2020 12:00:00 AM,Specialty Munition,13
01/01/2020 12:00:00 AM,Stop Sticks,2
01/01/2020 12:00:00 AM,Tackle,81
01/01/2020 12:00:00 AM,Takedowns,146
