Training Classification,Training Modules,Number of Training Hours,Year
GRPD Training - In-House,19-09 First Aid / Bloodborne / D.T. Recert,44,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-01 Use of Force Recert New Taser 7,1070,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-02 Spring Patrol Rifle Recert,336,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-03 New Glock Gen. 5 Transition,110,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-03/4 New Glock Gen. 5 Transition Shotgun Standards,689,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-05/6 Room Clearing Scenarios / Firearm Drills,976,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-07 Fall Patrol Rifle Recert,318,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-08 Fall Firearms  MCOLES Quals,550,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-09 800 MHZ Radio,763,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-10 Implicit Bias / Legal Update / First Aid & CPR / U of F Policy Review / Riot Lessons Learned,700,01/01/2020 12:00:00 AM
GRPD Training - In-House,Make Up Sessions for 2020,118,01/01/2020 12:00:00 AM
GRPD Training - In-House,Recruit Class In House,8000,01/01/2020 12:00:00 AM
GRPD Training - In-House,Robertson Brain Health,419,01/01/2020 12:00:00 AM
GRPD Training - In-House,MFF: Crowd Control Management,288,01/01/2020 12:00:00 AM
GRPD Training - In-House,Sgt's Annual Training,272,01/01/2020 12:00:00 AM
GRPD Training - In-House,New Sgt. Orientation,200,01/01/2020 12:00:00 AM
GRPD Training - In-House,Patrol Rifle Certification,138,01/01/2020 12:00:00 AM
GRPD Training - In-House,Intro to Mentor Program,74,01/01/2020 12:00:00 AM
GRPD Training - In-House,Less Lethal Shotgun,54,01/01/2020 12:00:00 AM
GRPD training  - Outside,O2X Tactical Athlete Certification Program,600,01/01/2020 12:00:00 AM
GRPD training  - Outside,Peer Support / Wellness Training,488,01/01/2020 12:00:00 AM
GRPD training  - Outside,Street Sgt: Evidence Based First Line Supervision,260,01/01/2020 12:00:00 AM
GRPD training  - Outside,FTO School,240,01/01/2020 12:00:00 AM
GRPD training  - Outside,800 MHZ Instructor Training,240,01/01/2020 12:00:00 AM
GRPD training  - Outside,Taser 7 Instructor,85,01/01/2020 12:00:00 AM
GRPD training  - Outside,Horse Saftey Training,48,01/01/2020 12:00:00 AM
GRPD training  - Outside,Misc. Outsdide Dept. Training (Documented Certificates),3931,01/01/2020 12:00:00 AM
GRPD Training - In-House,20-10 Implicit Bias / Legal Update / First Aid & CPR / U of F Policy Review / Riot Lessons Learned,372,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-01 Use of Force Recert,1066,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-02 Spring Firearms MCOLES Quals.,546,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-03 Rifle Re-Cert Spring,323,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-04 GR Pride 2-SLGBTQ+Inclusivity,93,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-05 Force on Force Simunitions Scenarios,908,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-06 Handgun Drills,442,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-07 Rifle Recert Summer,325,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-08 Fall Firearms,490,01/01/2021 12:00:00 AM
GRPD Training - In-House,21-09 EVO - Pursuit Stop Stick HRTS @ Grattan,1024,01/01/2021 12:00:00 AM
GRPD Training - In-House,"21-10  De-Escalation Non-Bias Decision Making, Preliminary Investigations, Trauma Resiliency & CPR Recert",1057,01/01/2021 12:00:00 AM
GRPD Training - In-House,Make Up Sessions for 2021,3,01/01/2021 12:00:00 AM
GRPD Training - In-House,Recruit Class In House,5200,01/01/2021 12:00:00 AM
GRPD Training - In-House,Radar Certification -  Recert,954,01/01/2021 12:00:00 AM
GRPD Training - In-House,Sgt's Annual Training,268,01/01/2021 12:00:00 AM
GRPD Training - In-House,Bike Crowd Management / Tactical Bike Training,134,01/01/2021 12:00:00 AM
GRPD Training - In-House,New Sgt. Orientation,48,01/01/2021 12:00:00 AM
GRPD Training - In-House,Less Lethal Shotgun,54,01/01/2021 12:00:00 AM
GRPD training  - Outside,Empower Training Records (Approved Outside Agency Training),7796,01/01/2021 12:00:00 AM
GRPD Training - In-House,22-01 Taser Use of Force Scenarios Legal Update,1023.5,01/01/2022 12:00:00 AM
GRPD Training - In-House,22-02 MCOLES Qualifications,536,01/01/2022 12:00:00 AM
GRPD Training - In-House,22-03 Rifle Re-Cert Spring,297,01/01/2022 12:00:00 AM
GRPD Training - In-House,22-04 DT/Force on Force Scenarios/Intro to Ballistic Shields/Active Violence,1216,01/01/2022 12:00:00 AM
GRPD Training - In-House,22-05 Handgun Drills,456,01/01/2022 12:00:00 AM
GRPD Training - In-House,22-06 Rifle Re-Cert,322,01/01/2022 12:00:00 AM
GRPD Training - In-House,22-07 Fall Firearms,436,01/01/2022 12:00:00 AM
GRPD Training - In-House,22-08 CPR First Aid-Bomb Hazmat-QPR Institute-YWCA,1147.5,01/01/2022 12:00:00 AM
GRPD Training - In-House,Make Up Sessions for 2022,158,01/01/2022 12:00:00 AM
GRPD Training - In-House,Recruit Class In House,5360,01/01/2022 12:00:00 AM
GRPD Training - In-House,Sgt's Annual Training New Sgt's Orientation,592,01/01/2022 12:00:00 AM
GRPD Training - In-House,Crisis Intervention Training (CIT),560,01/01/2022 12:00:00 AM
GRPD Training - In-House,Taclogix Facilitating Adult Learning &  Conflict Management & De-Escalation offered at GRPD,232,01/01/2022 12:00:00 AM
GRPD Training - In-House,Street Gang Investigation offered at GRPD,560,01/01/2022 12:00:00 AM
GRPD Training - In-House,Peer Support / Wellness Training,743,01/01/2022 12:00:00 AM
GRPD Training - In-House,Leadership Institute,1440,01/01/2022 12:00:00 AM
GRPD Training - In-House,GRPD New Instructor certifications and recerts,2636,01/01/2022 12:00:00 AM
GRPD training  - Outside,Misc. Outsdide Dept. Training (Documented Certificates of Completed Training),3426,01/01/2022 12:00:00 AM
GRPD training  - Outside,Empower Training Records (Additional Approved Outside Agency Training),6863,01/01/2022 12:00:00 AM
